gamma,lambda,acc_train,acc_test
0.5,0.2,1,0.98
0.5,0.25,1,0.978
0.5,0.3,1,0.978
0.5,0.35,1,0.978
0.5,0.4,1,0.98
0.5,0.45,1,0.98
0.5,0.5,1,0.98
0.5,0.55,1,0.978
0.5,0.6,0.9993333333333333,0.978
0.5,0.65,0.998,0.978
0.5,0.7,0.9966666666666667,0.978
0.5,0.75,0.996,0.976
0.5,0.8,0.9946666666666667,0.976
0.5,0.85,0.992,0.974
0.5,0.9,0.986,0.972
0.5,0.95,0.9793333333333333,0.968
0.5,1,0.9726666666666667,0.964
0.55,0.05,1,0.98
0.55,0.1,1,0.98
0.55,0.15,1,0.98
0.55,0.2,1,0.98
0.55,0.25,1,0.978
0.55,0.3,1,0.978
0.55,0.35,1,0.978
0.55,0.4,1,0.98
0.55,0.45,1,0.98
0.55,0.5,1,0.98
0.55,0.55,0.9993333333333333,0.978
0.55,0.6,0.998,0.978
0.55,0.65,0.9966666666666667,0.978
0.55,0.7,0.996,0.978
0.55,0.75,0.9946666666666667,0.976
0.55,0.8,0.9933333333333333,0.976
0.55,0.85,0.9886666666666667,0.974
0.55,0.9,0.9866666666666667,0.972
0.55,0.95,0.9793333333333333,0.968
0.55,1,0.9713333333333334,0.964
0.6,0.05,1,0.98
0.6,0.1,1,0.98
0.6,0.15,1,0.98
0.6,0.2,1,0.978
0.6,0.25,1,0.978
0.6,0.3,1,0.978
0.6,0.35,1,0.978
0.6,0.4,1,0.98
0.6,0.45,1,0.98
0.6,0.5,0.9986666666666667,0.978
0.6,0.55,0.9986666666666667,0.98
0.6,0.6,0.9966666666666667,0.978
0.6,0.65,0.9966666666666667,0.978
0.6,0.7,0.9953333333333333,0.976
0.6,0.75,0.9946666666666667,0.976
0.6,0.8,0.9906666666666667,0.976
0.6,0.85,0.988,0.974
0.6,0.9,0.9833333333333333,0.972
0.6,0.95,0.9773333333333334,0.968
0.6,1,0.9713333333333334,0.964
0.65,0.05,1,0.98
0.65,0.1,1,0.98
0.65,0.15,1,0.98
0.65,0.2,1,0.978
0.65,0.25,1,0.978
0.65,0.3,1,0.978
0.65,0.35,1,0.978
0.65,0.4,0.9993333333333333,0.98
0.65,0.45,0.9986666666666667,0.978
0.65,0.5,0.9966666666666667,0.978
0.65,0.55,0.9966666666666667,0.98
0.65,0.6,0.996,0.98
0.65,0.65,0.9953333333333333,0.978
0.65,0.7,0.994,0.976
0.65,0.75,0.9913333333333333,0.976
0.65,0.8,0.9893333333333333,0.976
0.65,0.85,0.9853333333333333,0.972
0.65,0.9,0.9806666666666667,0.972
0.65,0.95,0.976,0.968
0.65,1,0.9686666666666667,0.966
0.7,0.05,1,0.98
0.7,0.1,1,0.98
0.7,0.15,1,0.978
0.7,0.2,1,0.978
0.7,0.25,1,0.978
0.7,0.3,0.9993333333333333,0.978
0.7,0.35,0.998,0.978
0.7,0.4,0.9973333333333333,0.976
0.7,0.45,0.9966666666666667,0.978
0.7,0.5,0.996,0.978
0.7,0.55,0.9953333333333333,0.98
0.7,0.6,0.9953333333333333,0.98
